Gene,Inheritance
NACA,"AD (Cardiac arrhythmia, ankyrin-B-related); AD (Long QT syndrome 4); AD (Ventricular arrhythmias due to cardiac ryanodine receptor calcium release deficiency syndrome); AD (Ventricular tachycardia, catecholaminergic polymorphic, 1); AD (?Febrile seizures, familial, 4); AR (Usher syndrome, type 2C); AR (Usher syndrome, type 2C, GPR98/PDZD7 digenic)",
NACA2,"AD (Ventricular arrhythmias due to cardiac ryanodine receptor calcium release deficiency syndrome); AD (Ventricular tachycardia, catecholaminergic polymorphic, 1); AD (?Febrile seizures, familial, 4); AR (Usher syndrome, type 2C); AR (Usher syndrome, type 2C, GPR98/PDZD7 digenic); AD (Short QT syndrome 7); AD (Deafness, autosomal dominant 78); AD (Delpire-McNeill syndrome); AR (Kilquist syndrome)",
NACC1,"AD (Neurodevelopmental disorder with epilepsy, cataracts, feeding difficulties, and delayed brain myelination)",
NACC2,"AR (?Lessel-Kubisch syndrome); AD ({Accelerated tumor formation, susceptibility to})",
NADK,"AR (2,4-dienoyl-CoA reductase deficiency)",
NADK2,"AR (2,4-dienoyl-CoA reductase deficiency)",
NADSYN1,"AR (Vertebral, cardiac, renal, and limb defects syndrome 3)",
NAE1,AR (Neurodevelopmental disorder with dysmorphic facies and ischiopubic hypoplasia),
NAF1,"AD (Pulmonary fibrosis and/or bone marrow failure syndrome, telomere-related, 7); AR (Wolfram syndrome 2); AR (?Dystonia 35, childhood-onset); AR (Neurodevelopmental disorder with dystonia and seizures)",
NAGA,"AR (Kanzaki disease); AR (Schindler disease, type I); AR (Schindler disease, type III); AR (Infantile cerebellar-retinal degeneration); AR (Optic atrophy 9); AR (Metachromatic leukodystrophy)",
NAGLU,"AD (?Charcot-Marie-Tooth disease, axonal, type 2V); AR (Mucopolysaccharidosis type IIIB (Sanfilippo B)); AR (Mucopolysaccharidosis type IIIA (Sanfilippo A))",
NAGPA,"Stuttering, familial persistent, 2; AR (Spastic paraplegia 51, autosomal recessive); AD (Stuttering, familial persistent, 1); AR (Mucolipidosis II alpha/beta); AR (Mucolipidosis III alpha/beta)",
NAGS,AR (N-acetylglutamate synthase deficiency),
NAIP,"AD (?Familial cold autoinflammatory syndrome 4); AD (Autoinflammation with infantile enterocolitis); AR (Spinal muscular atrophy-1); AR (Spinal muscular atrophy-2); AR (Spinal muscular atrophy-3); AR (Spinal muscular atrophy-4); AD (Immunodeficiency 32A, mycobacteriosis, autosomal dominant); AR (Immunodeficiency 32B, monocyte and dendritic cell deficiency, autosomal recessive); AR (Amyotrophic lateral sclerosis 1); AR (Spastic tetraplegia and axial hypotonia, progressive)",
NALCN,"AD (Congenital contractures of the limbs and face, hypotonia, and developmental delay); AR (Hypotonia, infantile, with psychomotor retardation and characteristic facies 1); AR (Hypotonia, infantile, with psychomotor retardation and characteristic facies 2); AD (?Episodic pain syndrome, familial, 1)",
NANOG,"AR (Immunodeficiency 75); Myelodysplastic syndrome, somatic; AD (Microphthalmia, syndromic 3); AD (Optic nerve hypoplasia and abnormalities of the central nervous system); Burkitt lymphoma, somatic",
NANOS1,AD (Spermatogenic failure 12),
NANOS3,AD (Spermatogenic failure 12),
NANS,"AR (Spondyloepimetaphyseal dysplasia, Genevieve type)",
NAP1L1,AR (Sudden infant death with dysgenesis of the testes syndrome),
NAPB,AR (Developmental and epileptic encephalopathy 107),
NAPEPLD,[Longevity 1],
NARF,"AD ({Diabetes mellitus, type 2, susceptibility to})",
NARS1,"AR (Neurodevelopmental disorder with microcephaly, impaired language, and gait abnormalities, autosomal recessive); AD (Neurodevelopmental disorder with microcephaly, impaired language, epilepsy, and gait abnormalities, autosomal dominant)",
NARS2,"AR (?Deafness, autosomal recessive 94); AR (Combined oxidative phosphorylation deficiency 24); AR (Developmental and epileptic encephalopathy 75)",
NAT1,"AD (?Orthostatic intolerance); AR (Developmental and epileptic encephalopathy 102); AD (Intellectual developmental disorder, autosomal dominant 50, with behavioral abnormalities); AR ([Acetylation, slow]); AD ({Schizophrenia})",
NAT10,AR (Neurodevelopmental disorder with speech delay and variable ocular anomalies); AR (?Mosaic variegated aneuploidy syndrome 4),
NAT2,"AR ([Acetylation, slow]); AD (Orofacial cleft-1)",
NAT8,AR (?N-acetylaspartate deficiency),
NAT8L,AR (?N-acetylaspartate deficiency),
NAT9,"AD (Nephrolithiasis/osteoporosis, hypophosphatemic, 2)",
NAV1,"AD (Developmental and epileptic encephalopathy 6B, non-Dravet); AD (Dravet syndrome); AD (Febrile seizures, familial, 3A); AD (Generalized epilepsy with febrile seizures plus, type 2); AD (Migraine, familial hemiplegic, 3); AD (Developmental and epileptic encephalopathy 11); AD (Episodic ataxia, type 9); AD (Seizures, benign familial infantile, 3); AD (Developmental and epileptic encephalopathy 62); AD (Epilepsy, familial focal, with variable foci 4); AR ({Sudden infant death syndrome, susceptibility to}); AD (Atrial fibrillation, familial, 10); AD (Brugada syndrome 1); AD (Cardiomyopathy, dilated, 1E); AD (Heart block, nonprogressive); AD (Heart block, progressive, type IA); AD (Long QT syndrome 3); AR (Sick sinus syndrome 1); Ventricular fibrillation, familial, 1; AD (?Myoclonus, familial, 2); AD (Cognitive impairment with or without cerebellar ataxia); AD (Developmental and epileptic encephalopathy 13); AD (Seizures, benign familial infantile, 5); AD (Erythermalgia, primary); AR (Insensitivity to pain, congenital); AR (Neuropathy, hereditary sensory and autonomic, type IID); AD (Paroxysmal extreme pain disorder); AD (Small fiber neuropathy); AR (Congenital myopathy 22A, classic); AR (Congenital myopathy 22B, severe fetal); AD (Hyperkalemic periodic paralysis); AD (Hypokalemic periodic paralysis, type 2); AR (Myasthenic syndrome, congenital, 16); AD (Myotonia congenita, atypical, acetazolamide-responsive); AD (Paramyotonia congenita); AD (Episodic pain syndrome, familial, 2); AD (Episodic pain syndrome, familial, 3); AD (Neuropathy, hereditary sensory and autonomic, type VII)",
NAV2,"AR (Neurodevelopmental disorder with poor or absent speech, dysmorphic facies, and behavioral abnormalities)",
NAV3,"AR (Neurodevelopmental disorder with poor or absent speech, dysmorphic facies, and behavioral abnormalities)",
NAXD,"AR (Encephalopathy, progressive, early-onset, with brain edema and/or leukoencephalopathy, 2); AR (Encephalopathy, progressive, early-onset, with brain edema and/or leukoencephalopathy)",
NAXE,"AR (Encephalopathy, progressive, early-onset, with brain edema and/or leukoencephalopathy); AR (?Intellectual developmental disorder, autosomal recessive 50); AR (Encephalopathy, progressive, early-onset, with brain edema and/or leukoencephalopathy, 2)",
NBAS,"AR (Infantile liver failure syndrome 2); AR (Short stature, optic nerve atrophy, and Pelger-Huet anomaly); AR (Infantile liver failure syndrome 3)",
NBEA,AD (Neurodevelopmental disorder with or without early-onset generalized epilepsy); {Autism susceptibility 1}; {Autism susceptibility 3}; AR (Gray platelet syndrome),
NBEAL1,AR (Gray platelet syndrome),
NBEAL2,AR (Gray platelet syndrome),
NBL1,AR (Temtamy preaxial brachydactyly syndrome),
NBN,"Aplastic anemia; Leukemia, acute lymphoblastic; AR (Nijmegen breakage syndrome); AD ({Breast-ovarian cancer, familial, 1}); {Pancreatic cancer, susceptibility to, 4}; AR (Fanconi anemia, complementation group S); AR (Nijmegen breakage syndrome-like disorder); AD (Optic atrophy 13 with retinal and foveal abnormalities); AR (Ataxia-telangiectasia-like disorder 1)",
NBPF1,"AD ({Attention deficit-hyperactivity disorder, susceptibility to}); AD ({Blepharospasm, primary benign}); {Bone mineral density QTL 12, osteoporosis}",
NBPF19,"AD (Neuronal intranuclear inclusion disease); AD (Oculopharyngodistal myopathy 3); AD (Tremor, hereditary essential, 6)",
NBPF3,"{Alkaline phosphatase, plasma level of, QTL 2}; {Vitamin B6 plasma level QTL 1}",
NBR1,"AD (Cardiomyopathy, dilated, 1G); AD (Cardiomyopathy, familial hypertrophic, 9); AR (Congenital myopathy 5 with cardiomyopathy); AR (Muscular dystrophy, limb-girdle, autosomal recessive 10); AD (Myopathy, myofibrillar, 9, with early respiratory failure); AD (Tibial muscular dystrophy, tardive); Adenocarcinoma of lung, somatic; Ovarian cancer, somatic; AR (Parkinson disease, juvenile, type 2); AD (Myopathy with rimmed ubiquitin-positive autophagic vacuolation, autosomal dominant)",
NCAM1,"AD (?Thrombocytopenia 6); Colon cancer, advanced, somatic; Encephalocraniocutaneous lipomatosis, somatic mosaic; AD (Hartsfield syndrome); AD (Hypogonadotropic hypogonadism 2 with or without anosmia); AD (Jackson-Weiss syndrome); AD (Osteoglophonic dysplasia); AD (Pfeiffer syndrome); AD (Trigonocephaly 1); AR (?Attention deficit-hyperactivity disorder 8); AD (Agenesis of corpus callosum, cardiac, ocular, and genital syndrome); AD (Arrhythmogenic right ventricular dysplasia 14)",
NCAPD2,"AR (Microcephaly 21, primary, autosomal recessive); AR (Microcephaly 22, primary, autosomal recessive)",
NCAPD3,"AR (Microcephaly 22, primary, autosomal recessive); Intellectual developmental disorder, X-linked syndromic, Siderius type; AR (Khan-Khan-Katsanis syndrome)",
NCAPG2,"AR (Khan-Khan-Katsanis syndrome); Intellectual developmental disorder, X-linked syndromic, Siderius type; AR (Microcephaly 22, primary, autosomal recessive)",
NCAPH,"AR (?Microcephaly 23, primary, autosomal recessive)",
NCAPH2,"AR (Microcephaly 22, primary, autosomal recessive); AR (Khan-Khan-Katsanis syndrome)",
NCBP1,"AD (Spastic paraplegia 88, autosomal dominant)",
NCBP2,"AD (Spastic paraplegia 88, autosomal dominant)",
NCDN,AD (Neurodevelopmental disorder with infantile epileptic spasms),
NCF1,"AR (Chronic granulomatous disease 1, autosomal recessive); AD (Williams-Beuren syndrome); AR (Chronic granulomatous disease 3, autosomal recessive); Chronic granulomatous disease, X-linked; Immunodeficiency 34, mycobacteriosis, X-linked; AR (Chronic granulomatous disease 2, autosomal recessive)",
NCF2,"AR (Chronic granulomatous disease 2, autosomal recessive); AR (Chronic granulomatous disease 3, autosomal recessive); AR (Chronic granulomatous disease 1, autosomal recessive); AD (Intellectual developmental disorder, autosomal dominant 48)",
NCF4,"AR (Chronic granulomatous disease 3, autosomal recessive); Chronic granulomatous disease, X-linked; Immunodeficiency 34, mycobacteriosis, X-linked; AR (Chronic granulomatous disease 1, autosomal recessive); AR (Chronic granulomatous disease 2, autosomal recessive); {Inflammatory bowel disease 15}",
NCK1,"AR (Wiskott-Aldrich syndrome 2); Lymphoproliferative syndrome, X-linked, 1; AR (Autoimmune disease, multisystem, infantile-onset, 3); AR (Nephrotic syndrome, type 1)",
NCK2,"AR (Nephrotic syndrome, type 1)",
NCKAP1,"AR (Immunodeficiency 72 with autoinflammation); AD (Intellectual developmental disorder, autosomal dominant 48)",
NCKAP1L,AR (Immunodeficiency 72 with autoinflammation),
NCKIPSD,"AR (Osteogenesis imperfecta, type IX)",
NCL,"AR (Ceroid lipofuscinosis, neuronal, 7); AR (Macular dystrophy with central cone involvement); AR (Ceroid lipofuscinosis, neuronal, 1); AR (Ceroid lipofuscinosis, neuronal, 6A); AR (Ceroid lipofuscinosis, neuronal, 6B (Kufs type))",
NCLN,"AR (Neurodevelopmental disorder with facial dysmorphism, absent language, and pseudo-Pelger-Huet anomaly)",
NCOA1,"AD (KBG syndrome); AD ({Atrial fibrillation 8, susceptibility to}); Prostate cancer, somatic; AD (Spinocerebellar ataxia 4); AR (?Muscular dystrophy, congenital, Davignon-Chauveau type); AR (Spinal muscular atrophy with congenital bone fractures 1); {Prostate cancer, susceptibility to}; Androgen insensitivity; Androgen insensitivity, partial, with or without breast cancer; Hypospadias 1, X-linked; Spinal and bulbar muscular atrophy, X-linked 1",
NCOA2,"AD (Chromosome 5q14.3 deletion syndrome); AD (Neurodevelopmental disorder with hypotonia, stereotypic hand movements, and impaired language); AD (Glucocorticoid resistance); AD ({Atrial fibrillation 8, susceptibility to}); Prostate cancer, somatic; AD (Spinocerebellar ataxia 4); AD (Arboleda-Tham syndrome); {Prostate cancer, susceptibility to}; Androgen insensitivity; Androgen insensitivity, partial, with or without breast cancer; Hypospadias 1, X-linked; Spinal and bulbar muscular atrophy, X-linked 1; AD (KBG syndrome)",
NCOA3,"AD ({Atrial fibrillation 8, susceptibility to}); Prostate cancer, somatic; AD (Spinocerebellar ataxia 4); AD (Megabladder, congenital); AD (KBG syndrome); AR (Nephrotic syndrome, type 16); AR (Palmoplantar keratoderma and woolly hair)",
NCOA4,"AD (?Hemochromatosis, type 5); AD (Neurodegeneration with brain iron accumulation 9); AD (Hyperferritinemia-cataract syndrome); AR (L-ferritin deficiency, dominant and recessive); AD (Neurodegeneration with brain iron accumulation 3); {Prostate cancer, hereditary, 13}; {Prostate cancer, susceptibility to}; Androgen insensitivity; Androgen insensitivity, partial, with or without breast cancer; Hypospadias 1, X-linked; Spinal and bulbar muscular atrophy, X-linked 1",
NCOA6,"AR (Microcephaly 10, primary, autosomal recessive); AD ({Diabetes, type 2}); AD (Insulin resistance, severe, digenic); AD (Lipodystrophy, familial partial, type 3); AR (Obesity, severe)",
NCOA7,"AR (Cerebellar hypoplasia/atrophy, epilepsy, and global developmental delay)",
NCOR1,"Hypothyroidism, congenital, nongoitrous, 8; AD (Developmental delay with variable intellectual impairment and behavioral abnormalities)",
NCOR2,"AD (Neurodevelopmental disorder with central hypotonia and dysmorphic facies); Leukemia, acute promyelocytic; AD (Adams-Oliver syndrome 3); AD (Meier-Gorlin syndrome 6); AR (?Muscular dystrophy, congenital, Davignon-Chauveau type); AR (Spinal muscular atrophy with congenital bone fractures 1)",
NCR1,"{Malaria, mild, susceptibility to}; AR (Immunodeficiency 29, mycobacteriosis)",
NCR2,"AR (Immunodeficiency 104, severe combined); AR (Immunodeficiency 42); {Malaria, mild, susceptibility to}; AR (Immunodeficiency 29, mycobacteriosis)",
NCR3,"{Malaria, mild, susceptibility to}; AR (Immunodeficiency 29, mycobacteriosis)",
NCS1,"AD (Deafness, autosomal dominant 87); Intellectual developmental disorder, X-linked 21",
NCSTN,"AD (Acne inversa, familial, 1); AD (Alzheimer disease 1, familial); AD (Cerebral amyloid angiopathy, Dutch, Italian, Iowa, Flemish, Arctic variants); AD (Acne inversa, familial, 2, with or without Dowling-Degos disease); AD (?Acne inversa, familial, 3); AD (?Cardiomyopathy, dilated, 1U); AD (Alzheimer disease, type 3, with or without spastic paraparesis); AD (Dementia, frontotemporal); AD (Pick disease); AD ({Uveal melanoma, susceptibility to, 2}); AD (Kury-Isidor syndrome); AD (Tumor predisposition syndrome 1)",
NDC1,AR (?Atrial fibrillation 15),
NDC80,"AR (?Galloway-Mowat syndrome 8); AR (Nephrotic syndrome, type 18); AR (?Nephrotic syndrome, type 19); AR (?Ovarian dysgenesis 6); AR (Galloway-Mowat syndrome 7); AR (Nephrotic syndrome, type 11)",
NDE1,"AR (Lissencephaly 4 (with microcephaly)); AR (Microhydranencephaly); AD (Lissencephaly 1); AD (Subcortical laminar heterotopia); {Schizophrenia 9, susceptibility to}; AR (Craniometaphyseal dysplasia, autosomal recessive); AD (Erythrokeratodermia variabilis et progressiva 3); AD (Oculodentodigital dysplasia); AR (Oculodentodigital dysplasia, autosomal recessive); AD (Palmoplantar keratoderma with congenital alopecia); AD (Syndactyly, type III)",
NDEL1,"AD (Lissencephaly 1); AD (Subcortical laminar heterotopia); {Schizophrenia 9, susceptibility to}; AD ({Colon cancer, susceptibility to}); AR (Lissencephaly 4 (with microcephaly)); AR (Microhydranencephaly); AD (Charcot-Marie-Tooth disease, axonal, type 2O); AD (Cortical dysplasia, complex, with other brain malformations 13); AD (Spinal muscular atrophy, lower extremity-predominant 1, AD); AR (Lissencephaly 6, with microcephaly); AD (Takenouchi-Kosaki syndrome)",
NDFIP1,"AR (Anemia, hypochromic microcytic, with iron overload 1); AD (Spinocerebellar ataxia 31)",
NDFIP2,"AR (Anemia, hypochromic microcytic, with iron overload 1)",
NDN,"AD (Schaaf-Yang syndrome); AD (Prader-Willi syndrome); AR (Lung disease, immunodeficiency, and chromosome breakage syndrome); AD (Angelman syndrome)",
NDNF,AD (Hypogonadotropic hypogonadism 25 with anosmia),
NDOR1,AR (Al-Raqad syndrome),
NDP,"Exudative vitreoretinopathy 2, X-linked; Norrie disease; AR (?Ciliary dyskinesia, primary, 6); AD ([Bone mineral density variability 1, high bone mass]); AD (Endosteal hyperostosis); AR (Exudative vitreoretinopathy 4); AD (Osteopetrosis, autosomal dominant 1); AR (Osteoporosis-pseudoglioma syndrome); AD (Polycystic liver disease 4 with or without kidney cysts)",
NDRG1,"AR (Charcot-Marie-Tooth disease, type 4D)",
NDRG2,[Blood pressure regulation QTL]; AD (?Ovarian dysgenesis 8),
NDST1,"AR (Intellectual developmental disorder, autosomal recessive 46); AD (Aortic valve disease 3); AD (Exostoses, multiple, type 2); AR (Seizures, scoliosis, and macrocephaly syndrome)",
NDST2,"AR (Intellectual developmental disorder, autosomal recessive 46); AR (Deafness, autosomal recessive 23); AR (Usher syndrome, type 1D/F digenic); AR (Usher syndrome, type 1F)",
NDST3,"AR (Intellectual developmental disorder, autosomal recessive 46)",
NDST4,"AR (Intellectual developmental disorder, autosomal recessive 46)",
NDUFA1,"Mitochondrial complex I deficiency, nuclear type 12; {Microvascular complications of diabetes 6}; AR (Mitochondrial complex I deficiency, nuclear type 13)",
NDUFA10,"AR (Mitochondrial complex I deficiency, nuclear type 22); AR (Parkinson disease 6, early onset); AR (?Mitochondrial complex I deficiency, nuclear type 35)",
NDUFA11,"AR (Mitochondrial complex I deficiency, nuclear type 14)",
NDUFA12,"AR (Mitochondrial complex I deficiency, nuclear type 23); AR (Mitochondrial complex I deficiency, nuclear type 10)",
NDUFA13,"{Thyroid carcinoma, Hurthle cell}; AR (Mitochondrial complex I deficiency, nuclear type 28); AR (Mitochondrial complex I deficiency, nuclear type 31); Thyroid carcinoma, nonmedullary, with cell oxyphilia; AR (Combined oxidative phosphorylation deficiency 5); AR (Ovarian dysgenesis 7); AR (Combined oxidative phosphorylation deficiency 44); AR (Combined oxidative phosphorylation deficiency 12)",
NDUFA2,"AR (Mitochondrial complex I deficiency, nuclear type 13); AR (Carnitine deficiency, systemic primary); AR (Mitochondrial complex I deficiency, nuclear type 32); AR (Mitochondrial complex I deficiency, nuclear type 2); AR (Mitochondrial complex I deficiency, nuclear type 26); AR (Mitochondrial complex I deficiency, nuclear type 22)",
NDUFA4,"AR (?Mitochondrial complex IV deficiency, nuclear type 21)",
NDUFA5,"AR (Mitochondrial complex I deficiency, nuclear type 5); AR (Mitochondrial complex I deficiency, nuclear type 13)",
NDUFA6,"AR (Mitochondrial complex I deficiency, nuclear type 33); AR (Mitochondrial complex I deficiency, nuclear type 13); AR (Mitochondrial complex I deficiency, nuclear type 32); AR (Mitochondrial complex I deficiency, nuclear type 2)",
NDUFA7,"AR (Mitochondrial complex I deficiency, nuclear type 13); AR (Mitochondrial complex I deficiency, nuclear type 22); AR (Mitochondrial complex I deficiency, nuclear type 33); AR (Mitochondrial complex I deficiency, nuclear type 32); AR (Mitochondrial complex I deficiency, nuclear type 2); AR (Leber-like hereditary optic neuropathy, autosomal recessive 1)",
NDUFA8,"AR (Mitochondrial complex I deficiency, nuclear type 37); AR (?Mitochondrial complex I deficiency, nuclear type 39)",
NDUFA9,"AR (Mitochondrial complex I deficiency, nuclear type 26); AR (Mitochondrial complex I deficiency, nuclear type 31); AR (Optic atrophy 7)",
NDUFAB1,AR (Combined malonic and methylmalonic aciduria); AR (Optic atrophy 15),
NDUFAF1,"AR (Mitochondrial complex I deficiency, nuclear type 11); AR (Fanconi renotubular syndrome 5); AR (Mitochondrial complex I deficiency, nuclear type 17); AR (Mitochondrial complex I deficiency, nuclear type 29)",
NDUFAF2,"AR (Mitochondrial complex I deficiency, nuclear type 10)",
NDUFAF3,"AR (Mitochondrial complex I deficiency, nuclear type 18)",
NDUFAF4,"AR (Mitochondrial complex I deficiency, nuclear type 15); AR (Mitochondrial complex I deficiency, nuclear type 18)",
NDUFAF5,"AR (Mitochondrial complex I deficiency, nuclear type 16); AR (Mitochondrial complex I deficiency, nuclear type 34)",
NDUFAF6,"AR (Fanconi renotubular syndrome 5); AR (Mitochondrial complex I deficiency, nuclear type 17)",
NDUFAF7,"AR (?Leber-like hereditary optic neuropathy, autosomal recessive 2); AR (Mitochondrial complex I deficiency, nuclear type 6)",
NDUFAF8,"AR (Mitochondrial complex I deficiency, nuclear type 34)",
NDUFB10,"AR (?Mitochondrial complex I deficiency, nuclear type 35); AR (Mitochondrial complex I deficiency, nuclear type 22)",
NDUFB11,"?Mitochondrial complex I deficiency, nuclear type 30; Linear skin defects with multiple congenital anomalies 3",
NDUFB2,"AR (Deafness, autosomal recessive 13); AR (Mitochondrial complex I deficiency, nuclear type 22)",
NDUFB3,"AR (Mitochondrial complex I deficiency, nuclear type 25); AR (Neurodevelopmental disorder with microcephaly and speech delay, with or without brain abnormalities); AD (Neuronopathy, distal hereditary motor, autosomal dominant 9)",
NDUFB4,"AR (Mitochondrial complex I deficiency, nuclear type 22)",
NDUFB7,"AR (?Mitochondrial complex I deficiency, nuclear type 39); AR (Mitochondrial complex I deficiency, nuclear type 37); AR (Mitochondrial complex I deficiency, nuclear type 23)",
NDUFB8,"AR (Mitochondrial complex I deficiency, nuclear type 32); AR (Combined oxidative phosphorylation deficiency 51); AR (?Mitochondrial complex I deficiency, nuclear type 39); AR (Mitochondrial complex I deficiency, nuclear type 13); AR (Mitochondrial complex I deficiency, nuclear type 31); AR (Optic atrophy 15)",
NDUFB9,"AR (?Mitochondrial complex I deficiency, nuclear type 24)",
NDUFC2,"AR (Mitochondrial complex I deficiency, nuclear type 36)",
NDUFS1,"AR (Mitochondrial complex I deficiency, nuclear type 5); AR (Mitochondrial complex I deficiency, nuclear type 8); AR (Mitochondrial complex I deficiency, nuclear type 9); AR (Multiple mitochondrial dysfunctions syndrome 5); AR (Mitochondrial complex I deficiency, nuclear type 4)",
NDUFS2,"AR (?Leber-like hereditary optic neuropathy, autosomal recessive 2); AR (Mitochondrial complex I deficiency, nuclear type 6); AR (Mitochondrial complex I deficiency, nuclear type 8); AR (Mitochondrial complex I deficiency, nuclear type 7); AR (Mitochondrial complex I deficiency, nuclear type 37)",
NDUFS3,"AR (Mitochondrial complex I deficiency, nuclear type 8); AR (?Leber-like hereditary optic neuropathy, autosomal recessive 2); AR (Mitochondrial complex I deficiency, nuclear type 6); AR (?Mitochondrial complex I deficiency, nuclear type 39); AR (Mitochondrial complex I deficiency, nuclear type 9); {Thyroid carcinoma, Hurthle cell}; AR (Mitochondrial complex I deficiency, nuclear type 28); AR (Mitochondrial complex I deficiency, nuclear type 16)",
NDUFS4,"AR (Mitochondrial complex I deficiency, nuclear type 1); AR (Leber-like hereditary optic neuropathy, autosomal recessive 1); AR (?Leber-like hereditary optic neuropathy, autosomal recessive 2); AR (Mitochondrial complex I deficiency, nuclear type 6); AR (?Sudden cardiac failure, alcohol-induced); AR (Sudden cardiac failure, infantile); AR (Mitochondrial complex I deficiency, nuclear type 5)",
NDUFS5,"AR (Mitochondrial complex I deficiency, nuclear type 5)",
NDUFS6,"AR (Mitochondrial complex I deficiency, nuclear type 9); AR (?Leber-like hereditary optic neuropathy, autosomal recessive 2); AR (Mitochondrial complex I deficiency, nuclear type 6); AR (Mitochondrial complex I deficiency, nuclear type 8); AR (Mitochondrial complex I deficiency, nuclear type 5); AR (Mitochondrial complex I deficiency, nuclear type 13); AR (Mitochondrial complex I deficiency, nuclear type 1); AR (Leber-like hereditary optic neuropathy, autosomal recessive 1)",
NDUFS7,"AR (Mitochondrial complex I deficiency, nuclear type 3); AR (Mitochondrial complex I deficiency, nuclear type 8)",
NDUFS8,"AR (Mitochondrial complex I deficiency, nuclear type 2); AR (Mitochondrial complex I deficiency, nuclear type 13); AR (Leber-like hereditary optic neuropathy, autosomal recessive 1); AR (Mitochondrial complex I deficiency, nuclear type 8); AR (Mitochondrial complex I deficiency, nuclear type 33)",
NDUFV1,"AR (Mitochondrial complex I deficiency, nuclear type 4); AD (Alexander disease); AR (?Mitochondrial complex I deficiency, nuclear type 39); AR (Mitochondrial complex I deficiency, nuclear type 8); AR (Mitochondrial complex I deficiency, nuclear type 5); AR (Mitochondrial complex I deficiency, nuclear type 7); AR (Mitochondrial complex I deficiency, nuclear type 13)",
NDUFV2,"AR (Mitochondrial complex I deficiency, nuclear type 7); AR (Mitochondrial complex I deficiency, nuclear type 8); AR (Mitochondrial complex I deficiency, nuclear type 4); AR (Mitochondrial complex I deficiency, nuclear type 13); AR (Combined oxidative phosphorylation deficiency 31)",
NDUFV3,"AR (Mitochondrial complex I deficiency, nuclear type 4); AR (Mitochondrial complex I deficiency, nuclear type 7); Down syndrome; AR (Mitochondrial complex I deficiency, nuclear type 13); AR (Leber-like hereditary optic neuropathy, autosomal recessive 1)",
NEB,"AR (Arthrogryposis multiplex congenita 6); AR (Nemaline myopathy 2, autosomal recessive); AR (Nemaline myopathy 8, autosomal recessive); AD (Cardiomyopathy, dilated, 1G); AD (Cardiomyopathy, familial hypertrophic, 9); AR (Congenital myopathy 5 with cardiomyopathy); AR (Muscular dystrophy, limb-girdle, autosomal recessive 10); AD (Myopathy, myofibrillar, 9, with early respiratory failure); AD (Tibial muscular dystrophy, tardive); AD (Ehlers-Danlos syndrome, vascular type); AR (Polymicrogyria with or without vascular-type EDS); AD (Diamond-Blackfan anemia 7); AD (Cardiomyopathy, dilated, 1KK); AD (Cardiomyopathy, familial restrictive, 4); AD (Cardiomyopathy, hypertrophic, 22); AR (Congenital myopathy 24)",
NEBL,"DiGeorge syndrome/velocardiofacial syndrome complex-2; AD (Cardiomyopathy, dilated, 1KK); AD (Cardiomyopathy, familial restrictive, 4); AD (Cardiomyopathy, hypertrophic, 22); AR (Congenital myopathy 24)",
NECAP1,AR (Developmental and epileptic encephalopathy 21),
NECTIN1,"AR (Cleft lip/palate-ectodermal dysplasia syndrome); AR (Orofacial cleft 7); AR (Ectodermal dysplasia-syndactyly syndrome 1); AD (Orofacial cleft-1); AD (Charcot-Marie-Tooth disease, axonal, type 2FF)",
NECTIN2,"AD (Charcot-Marie-Tooth disease, axonal, type 2FF)",
NECTIN3,"AD (Charcot-Marie-Tooth disease, axonal, type 2FF); AR (Cleft lip/palate-ectodermal dysplasia syndrome); AR (Orofacial cleft 7)",
NECTIN4,AR (Ectodermal dysplasia-syndactyly syndrome 1); AR (Cleft lip/palate-ectodermal dysplasia syndrome); AR (Orofacial cleft 7),
NEDD4,"AD (Periventricular nodular heterotopia 7); AD (Spinocerebellar ataxia 31); AD (Neurodevelopmental disorder with hypotonia, seizures, and absent language)",
NEDD4L,"AD (Periventricular nodular heterotopia 7); AR (Autoimmune disease, multisystem, with facial dysmorphism); AR (Neuropathy, hereditary sensory and autonomic, type II); AD (Pseudohypoaldosteronism, type IIC); AR (Charcot-Marie-Tooth disease, axonal, type 2P)",
NEDD8,"AR (Neurodevelopmental disorder with dysmorphic facies and ischiopubic hypoplasia); AR (?Lessel-Kubisch syndrome); AD ({Accelerated tumor formation, susceptibility to})",
NEDD9,"AD ({Colon cancer, susceptibility to}); ?Chondrodysplasia with platyspondyly, distinctive brachydactyly, hydrocephaly, and microphthalmia; Melanoma, malignant, somatic; Pancreatic cancer, somatic; AD (Peutz-Jeghers syndrome); Testicular tumor, somatic",
NEFH,"AR ({?Amyotrophic lateral sclerosis, susceptibility to}); AD (Charcot-Marie-Tooth disease, axonal, type 2CC); AR (?Lissencephaly 7 with cerebellar hypoplasia); AR (Amyotrophic lateral sclerosis 1); AR (Spastic tetraplegia and axial hypotonia, progressive); Amyotrophic lateral sclerosis 6, with or without frontotemporal dementia; AD (Essential tremor, hereditary, 4); AD (Charcot-Marie-Tooth disease, dominant intermediate G); AR (Charcot-Marie-Tooth disease, type 1F); AD (Charcot-Marie-Tooth disease, type 2E)",
